;NoHeuristic;Heuristic1;Heuristic2;Heuristic3;Heuristic4;CSHL
1;3522735;128761;60181;60182;65780;145556
2;3216227;65314;41054;35456;34056;27991
3;2791689;30325;19127;13062;14462;12596
4;3202698;29391;25659;21927;25192;23326
5;6682046;41054;23793;20527;20061;19127
6;3530200;28458;12129;10730;9797;9331
7;3508273;23327;13062;14463;6998;10730
8;2499177;18661;11197;7931;6998;6998
9;2912519;27525;7464;9797;9331;9331
10;2918118;21927;11197;18661;17262;7931
11;3163510;17728;15862;13996;17728;11663
12;2755300;22394;10731;9797;8864;10730
13;4520633;37789;13063;11197;13529;10264
14;4491242;34056;15862;17261;19594;15862
15;2789356;17261;11196;11196;10263;8864
16;2808484;28925;7931;6531;10730;9330
17;3351520;20527;6998;11663;7931;10263
18;4367613;18194;8864;6998;6998;8398
19;3990660;17261;10264;7931;6998;6532
20;2509441;20527;6065;4666;4666;7931
21;2613010;19127;6065;7464;11663;7931
22;2824813;23326;13063;9797;10264;9797
23;3117791;17728;6998;5598;5132;5599
24;2637269;14462;5598;4665;4665;7464
25;3094931;25659;5598;7464;4665;4199
26;3113125;15395;12130;6065;5598;5131
27;3149048;19594;6531;5132;5132;6065
28;2663395;14462;6531;4665;5132;4665
29;2792622;20527;11663;9797;19594;10263
30;3541396;25192;10730;9797;7931;8398
31;4433393;24725;9331;8398;9330;7931
32;2719378;21460;8397;6998;7464;7464
33;2683922;22393;7464;6065;4666;4666
34;3145782;20994;6998;4665;4198;7931
35;2850005;12596;6531;5132;4199;19594
36;3745267;12596;6998;6531;8398;42920
37;2900390;13062;6531;5599;5132;5598
38;2584086;11197;6997;5599;5598;5132
39;2489381;18661;41054;5132;4665;5132
40;2921849;11197;4199;3732;3732;3732
41;2859336;26592;6531;4665;4665;4665
42;5370643;17261;10263;8397;6532;5132
43;2681589;13063;7464;5598;5598;8397
44;2690919;13529;5598;6998;4198;5599
45;4132484;17728;5132;3732;3732;4199
46;4789819;11196;6065;4665;4199;7931
47;4307431;16329;7931;5598;4665;4665
48;4471648;19594;7465;4665;4198;4666
49;2718911;25659;5131;4665;4199;5131
50;4912048;12130;6065;4199;3732;4665
51;2960105;14929;7464;4665;5131;7464
52;4997422;14929;6531;5598;4665;4665
53;5237683;16329;6532;6065;5131;4199
54;2974567;21460;5599;5598;5132;4198
55;2939578;9797;5132;3265;3732;3265
56;2940511;12129;6532;5599;4666;4199
57;3065540;7464;4665;4665;4665;4666
58;2763697;14463;4199;3265;2799;6531
59;2343358;13530;5131;4665;3266;3732
60;2341492;10730;5132;2799;5599;4665
61;2531368;11196;4665;2799;3266;3266
62;2668060;5132;4199;2332;2333;2799
63;2590616;7465;11197;4665;3733;3732
64;3312798;10264;3732;3733;4666;3732
65;2856536;10730;4665;3733;3733;4199
66;3063207;9797;4199;3733;3266;4199
67;2792622;9331;4665;4199;5132;4199
68;2830410;12596;6531;3266;6064;3732
69;2681589;6998;3732;7465;4199;3732
70;2656864;4666;4199;2799;2799;4199
71;2975501;5598;4199;6998;14928;3732
72;2919051;7464;5598;3266;2799;3265
73;2654530;17261;23793;3265;2799;3266
74;2863068;12130;52251;6998;3732;6531
75;2935379;10264;3732;2800;3266;3732
76;2480517;7465;3733;2799;2332;2799
77;2863534;12129;6065;6531;3732;5131
78;2834609;9797;3732;8397;3733;3732
79;2564958;6065;6065;3266;2799;3732
80;2588284;9330;4199;3266;3266;4198
81;2796354;126428;3732;2799;5132;3733
82;2552828;9797;5598;3266;13995;4666
83;3206431;10263;6531;3732;3266;3266
84;2913453;10264;4666;3266;3732;4666
85;2606478;6998;3266;2799;2332;7464
86;2991829;10263;4199;2800;3266;3266
87;2362486;10730;5599;4198;4665;4199
88;2908787;7465;3265;4199;3265;3732
89;2756233;10264;3733;3266;2333;3732
90;2925116;10263;3732;6065;9331;4665
91;2541632;9331;21926;2799;2333;2799
92;3128987;13529;8397;3266;2799;3732
93;2787957;9797;3266;2799;9331;3733
94;2704915;9797;9797;4199;3266;3732
95;3009557;7931;7931;3266;2799;3732
96;2956839;6531;4199;3732;6532;4199
97;2661995;8397;4665;9330;3265;3266
98;2921384;7464;3732;2799;2333;3265
99;2625606;6064;3732;2332;2332;3266
100;3181705;12130;4199;2799;2799;2799
101;2584085;6065;4198;3266;3732;2799
102;2778627;6531;3732;3732;2799;3732
103;2477252;9331;3732;3266;2799;3733
104;2445993;5598;4665;5598;3266;2799
105;2858402;5598;3732;5599;3265;3265
106;2943311;6998;7465;2800;3732;4198
107;3193368;8864;4199;3733;3732;4198
108;2989962;6531;3733;3266;2333;3266
109;4776756;13530;6531;3266;3266;3732
110;2769296;8864;3266;2799;2333;3733
111;2802886;5132;3732;2799;2799;3266
112;2875664;5598;5132;2799;2333;3265
113;3097730;11663;4665;4665;4198;4199
114;3307667;17728;6998;5132;4199;4198
115;2981565;6531;5131;9330;3732;3732
116;2680190;6065;3266;6064;3732;3266
117;2845806;9330;4199;2799;2333;2332
118;4628867;9797;6064;4666;4198;4199
119;2785625;4665;4665;4199;5132;4198
120;2887327;6531;6998;3266;2799;3266
121;2567757;7464;3265;3266;2333;3266
122;2529968;6998;3265;2333;1866;3266
123;2840208;10263;4666;3732;6065;4199
124;3018887;6998;3732;3266;3265;3732
125;2717045;11663;4199;7931;4198;3266
126;2752501;9797;3732;3733;2333;3265
127;2534633;6065;3732;3732;3265;3733
128;4784220;75577;6065;3265;280382;6065
129;2896191;91905;4665;5132;3266;3266
130;3014222;6531;3732;3733;2332;3266
131;3056676;12129;3733;3732;3733;3265
132;3108460;9797;4199;3733;3732;3732
133;2690919;12597;3266;4665;3732;3733
134;3028685;13529;3265;2799;2799;5598
135;2831811;7931;2333;2799;2332;4665
136;3256349;12597;5131;8864;6065;7931
137;2626539;9797;2799;2799;3266;3732
138;2770229;11663;3732;4199;2332;2799
139;2705382;6065;2799;2799;2333;4199
140;2912053;9330;4199;5132;3732;6998
141;2561692;6531;3266;2799;3265;2799
142;2536034;8398;3265;2332;6065;3265
143;2908320;9331;2800;7931;4199;4199
144;2963838;4665;5132;2799;2333;3265
145;3123389;10264;3266;2799;7931;2799
146;3132253;11197;6998;2799;2799;2800
147;4284571;8864;6531;3732;2333;3265
148;4961500;13995;4199;3266;2799;2799
149;2904589;11663;3732;3732;1866;2799
150;2998360;10264;5132;4665;3732;3732
151;2898057;8864;3266;2799;2333;3265
152;2721710;13063;3266;2799;2799;3266
153;2971302;12129;3266;3266;3733;3266
154;2773028;8864;3266;2799;2332;3265
155;3496609;13063;7931;4198;3265;4665
156;2592482;11197;3732;7930;4198;4665
157;2836009;7931;3266;2332;2333;9797
158;2906921;10263;3266;3266;2799;3732
159;3534399;13063;4199;18661;2333;2799
160;2565424;6998;3732;3265;5599;4199
161;3084668;15396;7464;3732;2799;3266
162;2777693;7465;3266;3265;1866;2799
163;2660596;16328;3266;3265;6532;5132
164;2932114;10264;3732;3266;7931;3732
165;2859335;7931;3265;3266;2332;2799
166;2841608;7931;3266;2799;2333;2800
167;2819215;7464;2799;3266;3265;3732
168;2727775;6532;2333;2333;1866;2799
169;2993695;19594;4665;3266;3265;3732
170;2925582;14929;8864;6065;2333;2800
171;2552828;10264;5131;3732;3732;2800
172;2878930;6531;4665;2799;2799;3733
173;3211096;13529;4199;2332;2799;2799
174;2727308;9797;3266;1866;2332;2799
175;2826679;7464;4198;2799;3265;3733
176;4872393;10730;6065;4199;4198;6531
177;2826212;7931;3266;3732;2799;2800
178;2258451;3732;3266;2799;5131;2799
179;3057142;13529;2799;3266;2799;2333
180;3609975;8398;6065;4199;3732;3733
181;3048279;8398;2799;2800;3266;3265
182;3185437;9330;3732;5132;5132;3733
183;2713779;9331;4198;3265;2333;2799
184;2778627;12130;6531;2333;3265;2332
185;2944710;11663;9797;4199;2333;2799
186;2402607;10263;2333;2799;1866;2799
187;2843940;11196;6532;3733;5132;6065
188;2609278;8864;3266;2799;2333;3733
189;2454858;10264;6531;3733;5131;8397
190;2425000;6065;3266;5132;2799;2799
191;2906455;11196;3732;3265;3265;6064
192;2428266;10263;3732;2333;1866;2799
193;3109860;17728;26125;4199;3266;2799
194;2654064;4665;2799;3266;2799;3265
195;2981098;6531;3265;2332;2799;3265
196;3875428;9331;4666;4199;3266;3732
197;3205964;17261;6532;4666;2800;7465
198;2863067;7931;3733;3266;2800;3732
199;2735240;5598;2799;1866;2333;2799
200;2551896;6998;3266;2799;3266;4199
201;2773028;10730;3266;3266;8397;2800
202;2310701;5132;3266;3265;2333;2799
203;2608344;6531;3266;2333;3266;2799
204;2682989;5132;5599;2333;2332;3266
205;3004892;11663;3266;3732;6531;3732
206;2681589;14928;4198;2799;3265;3266
207;2868666;7465;3266;2332;2799;2333
208;3141117;7931;2799;3733;5132;6065
209;4807547;13062;3266;2799;2333;3732
210;3077203;13529;4199;3732;4198;3732
211;3298802;7464;2799;2799;2332;3266
212;2900390;6531;3732;3266;2799;3265
213;2844406;9331;2799;2800;2332;2799
214;2961038;7464;3733;2332;2799;3266
215;2647067;6531;3732;3732;5131;2799
216;2804752;8864;6531;2332;2332;3266
217;2507109;6065;3266;4198;3732;5598
218;3029618;6998;2799;2800;2800;6531
219;3524601;9330;4199;2332;2799;2799
220;4753897;9797;4665;3732;3732;3732
221;2964770;6532;2332;2799;2333;3266
222;2738506;6065;2799;2800;2333;2799
223;2816415;9797;3266;2333;2799;2799
224;2518772;6998;2799;2333;2333;2799
225;2551429;10263;3266;2800;3732;4199
226;2359220;6064;2799;2332;2333;2799
227;2616742;9331;3266;2333;2332;5599
228;3350120;11196;2799;5598;3266;6065
229;4345686;10263;4665;3732;3266;4198
230;2564025;5132;5599;2799;3266;3732
231;2857470;6531;4199;3266;3732;3732
232;2982032;4198;3266;2799;5132;2799
233;2848139;9331;3266;2333;2333;2799
234;2659662;5598;3266;13529;1866;3266
235;2896191;12129;3732;5599;3732;3732
236;3219494;8864;4199;6531;3732;3266
237;3142516;14462;3266;2333;2799;2800
238;3080935;5132;2799;2333;5599;3265
239;2851405;10730;3266;2799;2332;3266
240;3303934;6531;3732;2799;3266;6531
241;3257282;6998;3266;3266;6532;3732
242;2662928;7465;2799;2799;2333;2332
243;3212495;8398;3265;6065;5598;3266
244;2775827;7464;2799;2799;1866;3265
245;2872865;14463;3266;2800;2800;3266
246;3156512;12597;3266;3266;2332;3733
247;2562625;6065;2799;2799;2332;2799
248;2708648;11196;3732;6531;3266;2799
249;2654531;6532;3266;2799;1866;6065
250;3025419;15395;3265;3266;2799;3265
251;3932344;11663;4199;3732;3266;4199
252;2752035;12596;3733;4199;5132;3733
253;3172374;13062;2799;3265;2332;2799
254;2730574;8397;2799;2333;2800;2799
255;2745503;5598;2799;2799;2332;6531
256;2693719;6065;3266;2799;3265;3732
257;2923249;10731;3733;2799;2333;2799
258;2953574;6998;6065;2799;5131;3265
259;2778160;10264;5132;4199;2799;3732
260;2629338;6065;3732;2333;1866;2799
261;2727775;6065;2799;2799;2799;4665
262;2751568;7465;3266;3266;2799;3266
263;2556094;6065;2332;2332;2333;2799
264;2454392;6065;3266;2333;2333;3732
265;3301136;13062;3732;2799;2333;2800
266;2920451;6531;4198;2799;1866;3266
267;2462789;16329;3266;2800;3732;2799
268;2912053;6998;2799;2332;2799;3265
269;2857002;6065;3265;3266;2799;6065
270;2860736;6531;2333;2333;2799;2800
271;2902256;8864;3266;2800;2799;4199
272;2778627;15861;4665;4199;5598;4199
273;2627473;6531;3266;3266;2332;2799
274;2689520;5599;3733;2800;2800;3732
275;3193835;6531;2333;2332;1866;3732
276;2305570;3266;2799;2333;2800;3265
277;2634937;7465;2332;2333;2333;5132
278;2746903;13529;3266;2332;2333;2333
279;2671326;7464;3266;2332;2799;3732
280;3048278;5598;3266;2800;2333;4198
281;2706315;4665;2799;2799;2332;3732
282;2669926;9331;5598;2799;3733;2799
283;2910653;10264;3266;3266;2799;2799
284;2954973;9797;3266;2799;2799;2799
285;2690454;9331;3732;3732;2333;3265
286;2550495;6065;2800;2333;1866;2799
287;3106594;6531;4198;5132;2332;3265
288;2794955;5598;2799;2799;2799;2800
289;2699784;9797;3265;3732;2333;2800
290;2591083;6065;2799;2799;3266;4198
291;2519239;9330;3266;2333;1866;2799
292;3085600;6998;3266;5598;8398;4666
293;2527169;6998;2333;2799;2799;2799
294;3141584;9330;3265;2799;3732;3266
295;3403305;10263;3266;2333;2332;3265
296;3077203;8397;3266;2799;2799;4198
297;3165376;10263;6065;3265;2333;2799
298;2895258;6531;3732;3266;2799;3732
299;2986697;4665;2799;2333;2333;2800
300;3005825;9330;2799;1866;2799;6065
301;2796355;10263;2799;2799;1866;3732
302;3223692;9797;2800;2333;1866;3732
303;2583152;10264;3265;2799;3266;3266
304;2384879;7931;3266;1866;1866;3732
305;2648466;6997;2799;2800;3266;3265
306;2960571;9331;3266;3732;3733;14929
307;2926516;4665;2799;2332;1866;3732
308;4295768;7931;5132;3732;3732;4198
309;3194768;6998;3265;2333;2332;2799
310;2809884;7931;3266;2799;2332;3266
311;3085134;6532;3266;2799;3266;5598
312;2584086;6997;5598;2333;1866;2333
313;3445759;13062;3266;3266;2333;2799
314;3965934;8398;3733;4199;4198;4199
315;2424067;11663;2799;6531;2333;4199
316;2973167;8864;3266;3266;2799;3732
317;2631204;9797;3265;2799;2333;3265
318;3226958;15861;3732;2800;5599;5598
319;2879862;8864;3732;2799;2333;5132
320;2732440;4665;2799;2799;19594;2799
321;2755767;6064;3732;6531;25192;3732
